cycle,length,position,class_name
55,20,8,LitReference
55,20,9,Riveros1993
55,20,10,MassAbsorptionCoefficient
55,20,11,Material
55,20,12,Composition
55,20,13,AlgorithmUser
55,20,14,CorrectionAlgorithm
55,20,15,XPP1989Ext
55,20,16,XPP1991
55,20,17,SpectrumProperties
55,20,18,QuantifyUsingSTEMinSEM
55,20,19,FilterFit
56,21,0,FilteredSpectrum
56,21,1,DerivedSpectrum
56,21,2,BaseSpectrum
56,21,3,SpectrumUtils
56,21,4,EDSDetector
56,21,5,Element
56,21,6,MeanIonizationPotential
56,21,7,AlgorithmClass
56,21,8,LitReference
56,21,9,Riveros1993
56,21,10,MassAbsorptionCoefficient
56,21,11,Material
56,21,12,Composition
56,21,13,AlgorithmUser
56,21,14,CorrectionAlgorithm
56,21,15,XPP1989Ext
56,21,16,XPP1991
56,21,17,PAP1991
56,21,18,SpectrumProperties
56,21,19,QuantifyUsingSTEMinSEM
56,21,20,FilterFit
57,20,0,FilteredSpectrum
57,20,1,DerivedSpectrum
57,20,2,BaseSpectrum
57,20,3,SpectrumUtils
57,20,4,EDSDetector
57,20,5,Element
57,20,6,MeanIonizationPotential
57,20,7,AlgorithmClass
57,20,8,LitReference
57,20,9,Riveros1993
57,20,10,MassAbsorptionCoefficient
57,20,11,Material
57,20,12,Composition
57,20,13,AlgorithmUser
57,20,14,CorrectionAlgorithm
57,20,15,XPP1989Ext
57,20,16,PAP1991
57,20,17,SpectrumProperties
57,20,18,QuantifyUsingSTEMinSEM
57,20,19,FilterFit
58,19,0,FilteredSpectrum
58,19,1,DerivedSpectrum
58,19,2,BaseSpectrum
58,19,3,SpectrumUtils
58,19,4,EDSDetector
58,19,5,Element
58,19,6,MeanIonizationPotential
58,19,7,AlgorithmClass
58,19,8,LitReference
58,19,9,Riveros1993
58,19,10,MassAbsorptionCoefficient
58,19,11,Material
58,19,12,Composition
58,19,13,AlgorithmUser
58,19,14,CorrectionAlgorithm
58,19,15,XPP1989Ext
58,19,16,SpectrumProperties
58,19,17,QuantifyUsingSTEMinSEM
58,19,18,FilterFit
59,20,0,FilteredSpectrum
59,20,1,DerivedSpectrum
59,20,2,BaseSpectrum
59,20,3,SpectrumUtils
59,20,4,EDSDetector
59,20,5,Element
59,20,6,MeanIonizationPotential
59,20,7,AlgorithmClass
59,20,8,LitReference
59,20,9,Riveros1993
59,20,10,MassAbsorptionCoefficient
59,20,11,Material
59,20,12,Composition
59,20,13,AlgorithmUser
59,20,14,CorrectionAlgorithm
59,20,15,Armstrong1982Correction
59,20,16,Armstrong1982Base
59,20,17,SpectrumProperties
59,20,18,QuantifyUsingSTEMinSEM
59,20,19,FilterFit
60,20,0,FilteredSpectrum
60,20,1,DerivedSpectrum
60,20,2,BaseSpectrum
60,20,3,SpectrumUtils
60,20,4,EDSDetector
60,20,5,Element
60,20,6,MeanIonizationPotential
60,20,7,AlgorithmClass
60,20,8,LitReference
60,20,9,Riveros1993
60,20,10,MassAbsorptionCoefficient
60,20,11,Material
60,20,12,Composition
60,20,13,AlgorithmUser
60,20,14,CorrectionAlgorithm
60,20,15,Armstrong1982ParticleCorrection
60,20,16,Armstrong1982Base
60,20,17,SpectrumProperties
60,20,18,QuantifyUsingSTEMinSEM
60,20,19,FilterFit
61,21,0,FilteredSpectrum
61,21,1,DerivedSpectrum
61,21,2,BaseSpectrum
61,21,3,SpectrumUtils
61,21,4,EDSDetector
61,21,5,Element
61,21,6,MeanIonizationPotential
